experiment_id,config,model,accuracy,auc,rmse,r2
20260324_125049,no_config,LinearRegression,,,0.004198847839515054,0.8253220113888191
20260324_125049,exp_003_xgb_regression,XGBRegressor,,,0.004323423758069328,0.8148031828047477
20260324_125111,exp_005_xgb_optuna_hints,XGBRegressor,,,0.004398538598287328,0.8083120893066255
20260324_132452,no_config,LinearRegression,,,0.004198847839515054,0.8253220113888191
20260324_132452,exp_003_xgb_regression,XGBRegressor,,,0.004323423758069328,0.8148031828047477
20260324_132530,exp_005_xgb_optuna_hints,XGBRegressor,,,0.004279634137346217,0.8185357010409411
20260327_125725,no_config,LinearRegression,,,0.0040774653106745275,0.8352754010158441
20260327_125957,no_config,LinearRegression,,,0.0040785742334310095,0.8351857905927857
20260327_130332,no_config,LinearRegression,,,0.0040774653106745275,0.8352754010158441
20260327_130607,no_config,LinearRegression,,,0.004198847839515054,0.8253220113888191
20260327_130608,exp_003_xgb_regression,XGBRegressor,,,0.004323423758069328,0.8148031828047477
20260327_130646,exp_005_xgb_optuna_hints,XGBRegressor,,,0.004269139919860176,0.8194245578596999
20260330_153500,no_config,RandomForestClassifier,0.5288537549407115,0.5398011021114357,,
20260330_184802,no_config,LinearRegression,,,0.0040774653106745275,0.8352754010158441
